District,Congress,Date,Predecessor,Predecessor Party,Winner,Winner Party,Winner Vote Share,Runner Up Vote Share
Florida 19,2010,13-Apr-10,Robert Wexler ,D,Ted Deutch ,D,62.1,35.1
Pennsylvania 12,2010,18-May-10,John Murtha ,D,Mark Critz ,D,52.6,45.1
Hawaii 1,2010,22-May-10,Neil Abercrombie ,D,Charles Djou ,R,39.4,30.8
Georgia 9,2010,8-Jun-10,Nathan Deal ,R,Tom Graves ,R,56.5,43.5
Indiana 3,2010,2-Nov-10,Mark Souder ,R,Marlin Stutzman ,R,63,33
New York 29,2010,2-Nov-10,Eric Massa ,D,Tom Reed ,R,56,44
New York 26,2012,24-May-11,Chris Lee ,R,Kathy Hochul ,D,47.2,43.2
California 36,2012,12-Jul-11,Jane Harman ,D,Janice Hahn ,D,54.9,45.1
Nevada 2,2012,13-Sep-11,Dean Heller ,R,Mark Amodei ,R,58,36
New York 9,2012,13-Sep-11,Anthony Weiner ,D,Bob Turner ,R,51.7,46.6
Oregon 1,2012,31-Jan-12,David Wu ,D,Suzanne Bonamici ,D,53.8,39.6
Arizona 8,2012,12-Jun-12,Gabby Giffords ,D,Ron Barber ,D,52.2,45.3
Kentucky 4,2012,6-Nov-12,Geoff Davis ,R,Thomas Massie ,R,62.1,35
Michigan 11,2012,6-Nov-12,Thad McCotter ,R,David Curson ,D,48.4,46.1
New Jersey 10,2012,6-Nov-12,Donald M. Payne ,D,Donald Payne Jr. ,D,97.4,2.6
Washington 1,2012,6-Nov-12,Jay Inslee ,D,Suzan DelBene ,D,53.9,46.1
Illinois 2,2014,9-Apr-13,Jesse Jackson Jr. ,D,Robin Kelly ,D,70.8,22
South Carolina 1,2014,7-May-13,Tim Scott ,R,Mark Sanford ,R,54,45.2
Missouri 8,2014,4-Jun-13,Jo Ann Emerson ,R,Jason Smith ,R,67.1,27.4
Louisiana 5,2014,16-Nov-13,Rodney Alexander ,R,Vance McAllister ,R,59.7,40.4
Massachusetts 5,2014,10-Dec-13,Edward Markey ,D,Katherine Clark ,D,66,32
Alabama 1,2014,17-Dec-13,Jo Bonner ,R,Bradley Byrne ,R,71,29
Florida 13,2014,11-Mar-14,Bill Young ,R,David Jolly ,R,48.4,46.6
Florida 19,2014,24-Jun-14,Trey Radel ,R,Curt Clawson ,R,67,29.3
North Carolina 12,2014,4-Nov-14,Mel Watt ,D,Alma Adams ,D,75.4,24.6
New Jersey 1,2014,4-Nov-14,Rob Andrews ,D,Donald Norcross ,D,72.1,15
Virginia 7,2014,4-Nov-14,Eric Cantor ,R,David Brat ,R,51.2,45.5
New York 11,2016,5-May-15,Michael Grimm ,R,Daniel M. Donovan Jr.,R,58.7,39.4
Mississippi 1,2016,12-May-15,Alan Nunnelee ,R,Trent Kelly ,R,70.1,29.9
Illinois 18,2016,10-Sep-15,Aaron Schock ,R,Darin LaHood ,R,68.8,31.1
Ohio 8,2016,7-Jun-16,John Boehner ,R,Warren Davidson ,R,76.8,21.1
Pennsylvania 2,2016,8-Nov-16,Chaka Fattah ,D,Dwight Evans ,D,42.3,34.4
Hawaii 1,2016,8-Nov-16,Mark Takai ,D,Colleen Hanabusa ,D,60.5,20.7
Kentucky 1,2016,8-Nov-16,Ed Whitfield ,R,James Comer ,R,60.6,23.3
Kansas 4,2018,11-Apr-17,Mike Pompeo ,R,Ron Estes ,R,52.2,46
Montana at-large,2018,25-May-17,Ryan Zinke ,R,Greg Gianforte ,R,49.7,44.1
California 34,2018,6-Jun-17,Xavier Becerra ,D,Jimmy Gomez ,D,60.1,39.9
Georgia 6,2018,20-Jun-17,Tom Price ,R,Karen Handel ,R,51.8,48.2
South Carolina 5,2018,20-Jun-17,Mick Mulvaney ,R,Ralph Norman ,R,51,47.9
Utah 3,2018,7-Nov-17,Jason Chaffetz ,R,John Curtis ,R,58,25.6
Pennsylvania 18,2018,13-Mar-18,Tim Murphy ,R,Conor Lamb ,D,49.9,49.6
Arizona 8,2018,24-Apr-18,Trent Franks ,R,Debbie Lesko ,R,52.4,47.6
Texas 27,2018,30-Jun-18,Blake Farenthold ,R,Michael Cloud ,R,54.7,32
Ohio 12,2018,7-Aug-18,Pat Tiberi ,R,Troy Balderson ,R,50.1,49.3