state,district,projected winner,probability victory,p_538_R,p_538_D
Alabama,01,R,0.9999999981047535,0.9997,0.0003
Alabama,02,R,0.9883072891924582,0.9779800000000001,0.022019999999999998
Alabama,03,R,0.9999999999945681,0.99826,0.0017399999999999998
Alabama,04,R,1.0,1.0,0.0
Alabama,05,R,0.9999998215318932,0.99914,0.00086
Alabama,06,R,1.0,0.9998999999999999,0.0001
Alabama,07,D,1.0,,1.0
Alaska,00,R,0.9999866597631013,0.65384,0.34616
Arizona,01,D,0.9999999831419238,0.10884,0.89116
Arizona,02,D,0.9519627293974655,0.03552,0.9644800000000001
Arizona,03,D,0.999999999998583,0.0001,0.9998999999999999
Arizona,04,R,0.9999999999999993,0.99942,0.00056
Arizona,05,R,0.9999999969101224,0.99906,0.00094
Arizona,06,R,0.9999985396233123,0.9080799999999999,0.09192
Arizona,07,D,1.0,,0.99996
Arizona,08,R,0.9999997973404282,0.7767399999999999,0.22325999999999996
Arizona,09,D,0.8183111286133307,0.00512,0.99488
Arkansas,01,R,0.9999999999975618,0.9995,0.0005
Arkansas,02,R,0.9994983566350367,0.8622,0.1378
Arkansas,03,R,0.9999999909562604,0.99914,0.00086
Arkansas,04,R,0.9999999981021668,0.9997399999999999,0.00026
California,01,R,0.9999942183546083,0.78888,0.21112000000000003
California,02,D,0.9999987601704586,0.0,1.0
California,03,D,0.9997230102777173,0.00026,0.9997399999999999
California,04,R,0.8707881675157807,0.8476,0.15238
California,05,D,1.0,,0.99984
California,06,D,1.0,,0.0
California,07,D,0.9999999640195971,0.00492,0.99508
California,08,R,1.0,0.0343,
California,09,D,0.9999982346469002,0.00068,0.99932
California,10,R,0.8140219819722827,0.22958,0.77042
California,11,D,0.9999999998993524,0.0,1.0
California,12,D,1.0,0.0,1.0
California,13,D,1.0,,0.9999800000000001
California,14,D,1.0,0.0,1.0
California,15,D,1.0,0.0,1.0
California,16,D,0.9999997698983227,0.01692,0.98308
California,17,D,1.0,0.0,1.0
California,18,D,1.0,0.0,1.0
California,19,D,1.0,0.0,1.0
California,20,D,1.0,,0.9997399999999999
California,21,R,0.999308755211848,0.79482,0.20518
California,22,R,0.9997879243621132,0.95552,0.04447999999999999
California,23,R,0.9964704042530345,0.9994,0.0006
California,24,D,0.9964313541019899,0.01458,0.98542
California,25,D,0.76487636757426,0.36916,0.63084
California,26,D,0.999810267381172,0.00024,0.99976
California,27,D,1.0,,0.0
California,28,D,0.9999999999999455,0.0,1.0
California,29,D,0.9996013092648928,2e-05,0.9999800000000001
California,30,D,0.999999979164525,2e-05,0.9999800000000001
California,31,D,0.9997950276244502,0.00116,0.99884
California,32,D,1.0,0.0,1.0
California,33,D,0.9999999990532499,0.0,1.0
California,34,D,1.0,,0.99988
California,35,D,1.0,0.0,1.0
California,36,D,0.9999999998372613,0.00154,0.99846
California,37,D,1.0,0.0,1.0
California,38,D,0.999999999999997,4e-05,0.99996
California,39,D,0.9999650116291642,0.4202,0.5798
California,40,D,1.0,,0.99966
California,41,D,0.9999999999999999,8e-05,0.99992
California,42,D,0.8152788970981789,0.97568,0.024319999999999998
California,43,D,1.0,0.0,1.0
California,44,D,1.0,,0.0
California,45,D,0.8664060319647893,0.37683999999999995,0.62316
California,46,D,0.9999999999089387,0.0,1.0
California,47,D,1.0,0.00012,0.99988
California,48,D,0.6622288752576526,0.43654,0.56346
California,49,D,0.5185748542680376,0.040060000000000005,0.95994
California,50,R,0.9847576303466422,0.7822,0.21780000000000002
California,51,D,0.9999995403723014,0.0,1.0
California,52,D,0.999999999999999,0.00044000000000000007,0.99956
California,53,D,0.9999999998933158,2e-05,0.9999800000000001
Colorado,01,D,1.0,0.0,1.0
Colorado,02,R,0.8490492151848963,0.0003,0.9997
Colorado,03,R,0.9854325181064071,0.79804,0.20196000000000003
Colorado,04,R,0.9978868755946235,0.95836,0.04164
Colorado,05,R,0.8826157587071726,0.9791,0.02086
Colorado,06,D,0.9927942986085315,0.11747999999999999,0.88252
Colorado,07,D,0.9995037183548856,0.00058,0.9994
Connecticut,01,D,1.0,0.0001,0.9998999999999999
Connecticut,02,D,0.9998809104764048,0.00028,0.99972
Connecticut,03,D,0.9999999999999997,0.0,1.0
Connecticut,04,D,0.9999999999996573,0.00046,0.99954
Connecticut,05,D,0.9995410938389532,0.025459999999999997,0.97454
Delaware,00,D,1.0,0.00194,0.99806
Florida,01,R,0.9975653859313621,0.99996,4e-05
Florida,02,R,0.9952608704843386,0.9997399999999999,0.00026
Florida,03,R,0.9056869222039134,0.98582,0.01418
Florida,04,R,0.9999875219116218,0.9998999999999999,0.0001
Florida,05,D,1.0,0.0,1.0
Florida,06,R,0.9656570789020185,0.73764,0.26236
Florida,07,D,0.9999954715935333,0.05322,0.94678
Florida,08,R,0.9049703048154427,0.9933999999999998,0.0066
Florida,09,D,0.999999149869571,0.01538,0.98462
Florida,10,D,1.0,,1.0
Florida,11,R,0.9992531628118753,0.99972,0.00028
Florida,12,R,0.9996549146935335,0.99494,0.00506
Florida,13,D,0.9999941968589405,0.00132,0.9986799999999999
Florida,14,D,1.0,,1.0
Florida,15,D,0.5555602700586681,0.58226,0.41774
Florida,16,R,0.9990997563117917,0.85918,0.14082
Florida,17,R,0.9564565527614592,0.9983999999999998,0.0016
Florida,18,R,0.9962824228766914,0.9099,0.0901
Florida,19,R,0.9999986262950885,0.9908,0.0092
Florida,20,D,1.0,,1.0
Florida,21,D,1.0,,1.0
Florida,22,D,0.9999999920104242,0.00037999999999999997,0.9996199999999998
Florida,23,D,0.9999705661750159,0.00028,0.99972
Florida,24,D,1.0,,1.0
Florida,25,R,0.9998405782069659,0.72852,0.27148
Florida,26,R,0.6235909864401374,0.44183999999999996,0.55816
Florida,27,R,0.6743538335888449,0.15192,0.84808
Georgia,01,R,0.9999999524840468,0.99862,0.00138
Georgia,02,D,1.0,0.0001,0.9998999999999999
Georgia,03,R,0.9999999999999847,0.99996,4e-05
Georgia,04,D,1.0,0.0,1.0
Georgia,05,D,1.0,,1.0
Georgia,06,R,0.9893134808853697,0.50684,0.49315999999999993
Georgia,07,R,0.8396908988617837,0.84122,0.15878
Georgia,08,R,1.0,1.0,
Georgia,09,R,1.0,1.0,0.0
Georgia,10,R,0.9999999999973206,0.9998999999999999,0.0001
Georgia,11,R,1.0,0.9997799999999999,0.00022000000000000003
Georgia,12,R,0.9999654825498616,0.98832,0.01168
Georgia,13,D,1.0,0.0,1.0
Georgia,14,R,1.0,1.0,0.0
Hawaii,01,D,1.0,0.0,1.0
Hawaii,02,D,1.0,0.0,1.0
Idaho,01,R,1.0,0.99442,0.005579999999999999
Idaho,02,R,1.0,0.99914,0.00086
Illinois,01,D,1.0,0.0,0.9999800000000001
Illinois,02,D,1.0,0.0,1.0
Illinois,03,D,0.990600816635946,0.0001,0.9998999999999999
Illinois,04,D,0.9999112958805344,0.0,1.0
Illinois,05,D,0.9999995657268961,0.0,1.0
Illinois,06,D,0.8652031504917622,0.52258,0.47742000000000007
Illinois,07,D,1.0,0.0,1.0
Illinois,08,D,1.0,6e-05,0.99994
Illinois,09,D,0.9999999999431906,0.0,1.0
Illinois,10,D,0.9999999999938,0.00016,0.99984
Illinois,11,D,1.0,6e-05,0.99994
Illinois,12,R,0.9868426642419936,0.72678,0.2732
Illinois,13,R,0.8622847018218947,0.7243200000000001,0.27568
Illinois,14,D,0.5364838495423226,0.31152,0.68848
Illinois,15,R,0.9999868687739965,0.99996,4e-05
Illinois,16,R,0.9992479877075016,0.9911999999999999,0.0088
Illinois,17,D,0.9999996754410398,0.00042,0.99958
Illinois,18,R,0.9999421108848322,0.9998999999999999,0.0001
Indiana,01,D,0.9985861960628619,0.0,1.0
Indiana,02,R,0.9999985988288607,0.96042,0.03958
Indiana,03,R,0.9999987172142677,0.99774,0.00226
Indiana,04,R,0.9944900795801657,0.99836,0.00164
Indiana,05,R,0.9997321432905283,0.96232,0.03768
Indiana,06,R,0.9999999997241574,0.99956,0.00044000000000000007
Indiana,07,D,1.0,4e-05,0.99996
Indiana,08,R,0.9999650313776667,0.99696,0.0030399999999999997
Indiana,09,R,0.999971623201213,0.8336200000000001,0.16638000000000003
Iowa,01,R,0.9879913453359123,0.04401999999999999,0.9559799999999999
Iowa,02,D,0.9999994558347209,0.01072,0.9892800000000002
Iowa,03,D,0.7398489015434342,0.30394,0.6960599999999999
Iowa,04,R,0.9999924170354795,0.85206,0.14794
Kansas,01,R,0.999999999761716,0.9986,0.0013999999999999998
Kansas,02,R,0.9994286796618795,0.3794600000000001,0.62048
Kansas,03,D,0.8015718650594665,0.15238,0.8476
Kansas,04,R,0.9999441380541672,0.99318,0.00682
Kentucky,01,R,0.9999999992065431,0.9998999999999999,0.0001
Kentucky,02,R,0.9999999999999295,0.99928,0.00072
Kentucky,03,D,0.9999945603952424,0.0015,0.9985
Kentucky,04,R,0.9999999999996988,0.9997,0.0003
Kentucky,05,R,0.9999999989802714,1.0,0.0
Kentucky,06,R,0.9999999442277248,0.54498,0.45502
Louisiana,01,R,0.9999999999999939,1.0,0.0
Louisiana,02,D,1.0,,1.0
Louisiana,03,R,1.0,0.0032600000000000003,2e-05
Louisiana,04,R,0.9998854990722731,0.99942,0.00054
Louisiana,05,R,0.9999999999995937,0.99982,0.00018
Louisiana,06,R,0.9999999999217102,0.9998599999999999,0.0
Maine,01,D,1.0,0.00032,0.99966
Maine,02,R,0.8888382764122138,0.37006,0.62994
Maryland,01,R,0.9998006335631306,0.9905000000000002,0.0095
Maryland,02,D,0.9999999999999628,6e-05,0.99994
Maryland,03,D,1.0,6e-05,0.99994
Maryland,04,D,1.0,0.0,1.0
Maryland,05,D,1.0,0.0,1.0
Maryland,06,D,0.9999330219701221,0.0051400000000000005,0.9948599999999999
Maryland,07,D,1.0,0.0,1.0
Maryland,08,D,1.0,0.0,1.0
Massachusetts,01,D,1.0,,1.0
Massachusetts,02,D,0.999999999989709,4e-05,0.99996
Massachusetts,03,D,0.999991072645396,0.0004,0.9996
Massachusetts,04,D,1.0,,1.0
Massachusetts,05,D,1.0,0.0,1.0
Massachusetts,06,D,0.9999999999626143,8e-05,0.99992
Massachusetts,07,D,1.0,,1.0
Massachusetts,08,D,1.0,,1.0
Massachusetts,09,D,0.9999521364133208,0.00274,0.99726
Michigan,01,R,0.9999935940913861,0.92568,0.07432
Michigan,02,R,0.991596518369487,0.93978,0.06022
Michigan,03,R,0.9937800167375536,0.98146,0.01854
Michigan,04,R,0.999999999638374,0.99858,0.0014200000000000003
Michigan,05,D,0.9998637602092213,0.00034,0.99966
Michigan,06,R,0.9286892657339096,0.77378,0.22622
Michigan,07,R,0.9997200898876821,0.58748,0.41252
Michigan,08,R,0.7904225586191093,0.32838,0.6716
Michigan,09,D,0.8997671550235985,0.00342,0.99658
Michigan,10,R,0.9999999999565646,0.99882,0.00118
Michigan,11,D,0.8728335873390722,0.20630000000000004,0.7936999999999999
Michigan,12,D,0.9999930626196757,2e-05,0.9999800000000001
Michigan,13,D,1.0,,1.0
Michigan,14,D,1.0,0.0,1.0
Minnesota,01,R,0.9984241590526237,0.45316,0.54684
Minnesota,02,R,0.838570014674189,0.13606,0.86394
Minnesota,03,D,0.9963032862679024,0.15486,0.84514
Minnesota,04,D,1.0,4e-05,0.99996
Minnesota,05,D,0.9999990682823545,0.0,1.0
Minnesota,06,R,0.9999742990343435,0.99894,0.00106
Minnesota,07,D,0.996419916958446,0.06702,0.93298
Minnesota,08,R,0.9466670286035438,0.81128,0.1887
Mississippi,01,R,1.0,0.99954,0.00046
Mississippi,02,D,1.0,,1.0
Mississippi,03,R,0.9999874182965701,0.99682,0.00318
Mississippi,04,R,1.0,0.99604,0.00396
Missouri,01,D,1.0,0.0,1.0
Missouri,02,R,0.9999999999999973,0.8421600000000001,0.15784
Missouri,03,R,1.0,0.99994,6e-05
Missouri,04,R,0.9999999999998346,0.99936,0.00064
Missouri,05,D,1.0,0.00046,0.99954
Missouri,06,R,1.0,0.9997,0.0003
Missouri,07,R,1.0,0.99992,8e-05
Missouri,08,R,1.0,0.99996,4e-05
Montana,00,R,0.9999999999976409,0.75808,0.24192
Nebraska,01,R,0.9999999999999319,0.99772,0.00228
Nebraska,02,R,0.9999999950709111,0.58336,0.41664
Nebraska,03,R,0.999999914764253,0.99996,4e-05
Nevada,01,D,1.0,8e-05,0.99992
Nevada,02,R,0.9997985172853867,0.99772,0.00228
Nevada,03,D,0.9911604791982905,0.11936,0.88064
Nevada,04,D,0.9634984842292899,0.12301999999999999,0.87698
New Hampshire,01,R,0.9999971525272575,0.10866000000000002,0.89132
New Hampshire,02,D,0.8994573870686413,0.0034799999999999996,0.99652
New Jersey,01,D,0.9999999967465715,4e-05,0.99996
New Jersey,02,D,0.9998475441215584,0.02084,0.9791599999999999
New Jersey,03,D,0.6172526721710885,0.45382,0.54618
New Jersey,04,R,0.9996525251685688,0.92938,0.07062
New Jersey,05,D,0.9999999999953204,0.01326,0.98674
New Jersey,06,D,1.0,0.00012,0.99988
New Jersey,07,D,0.5279807624770615,0.22106,0.77894
New Jersey,08,D,1.0,0.0,1.0
New Jersey,09,D,1.0,0.0,1.0
New Jersey,10,D,1.0,0.0,1.0
New Jersey,11,D,0.9990463913350476,0.1483,0.8517
New Jersey,12,D,1.0,0.0,1.0
New Mexico,01,D,0.9999999997377439,0.021260000000000005,0.97872
New Mexico,02,R,0.7308817869829278,0.55786,0.44214
New Mexico,03,D,1.0,0.00048,0.99952
New York,01,R,0.9999872527251457,0.93458,0.0654
New York,02,R,0.5503417721888658,0.72926,0.27074
New York,03,D,0.9999999997772733,0.00318,0.99682
New York,04,D,1.0,0.00042,0.99958
New York,05,D,1.0,,1.0
New York,06,D,1.0,,0.9998999999999999
New York,07,D,1.0,,1.0
New York,08,D,1.0,,1.0
New York,09,D,1.0,0.0,1.0
New York,10,D,1.0,0.0,1.0
New York,11,R,0.763834454056147,0.7644,0.23559999999999998
New York,12,D,1.0,0.0,1.0
New York,13,D,1.0,0.0,1.0
New York,14,D,1.0,0.0,1.0
New York,15,D,1.0,0.0,1.0
New York,16,D,1.0,,1.0
New York,17,D,1.0,,0.99994
New York,18,D,0.9999999999996836,0.00758,0.9924199999999999
New York,19,R,0.9469072700418029,0.38998,0.61002
New York,20,D,0.9999999999999625,2e-05,0.9999800000000001
New York,21,R,0.9999999516214362,0.8935600000000001,0.10644
New York,22,R,0.999980844071515,0.48002,0.51998
New York,23,R,0.9886580650407761,0.83024,0.16976
New York,24,R,0.9156738317462636,0.8210599999999999,0.17894
New York,25,D,0.9916577140018563,0.00996,0.99004
New York,26,D,1.0,0.0,1.0
New York,27,R,0.9999909332907555,0.7583199999999999,0.24168
North Carolina,01,D,1.0,2e-05,0.9999800000000001
North Carolina,02,R,0.9123124744707216,0.8479399999999999,0.15206
North Carolina,03,R,1.0,1.0,
North Carolina,04,D,1.0,2e-05,0.9999800000000001
North Carolina,05,R,0.9999989529822761,0.96016,0.03984
North Carolina,06,R,0.6334716727582905,0.87056,0.12944
North Carolina,07,R,0.7828218881897885,0.81766,0.18234000000000003
North Carolina,08,R,0.9633047574799563,0.87714,0.12286
North Carolina,09,D,0.9749122025091715,0.5302,0.4697799999999999
North Carolina,10,R,0.9987554449885169,0.9982799999999998,0.00172
North Carolina,11,R,0.9999999999998758,0.99728,0.0027
North Carolina,12,D,1.0,0.0,1.0
North Carolina,13,R,0.9943095877747145,0.61318,0.38682
North Dakota,00,R,1.0,0.99886,0.00112
Ohio,01,R,0.7403192266269002,0.79962,0.20036
Ohio,02,R,0.9999997494166516,0.97572,0.02426
Ohio,03,D,1.0,0.0,1.0
Ohio,04,R,0.9999204520934819,0.99056,0.00944
Ohio,05,R,0.9987638995557686,0.9985199999999999,0.00148
Ohio,06,R,0.9999998303862648,0.99992,8e-05
Ohio,07,R,0.9999867177708313,0.9633800000000001,0.03662
Ohio,08,R,0.9999066236559897,0.99972,0.00028
Ohio,09,D,0.9999999999999747,0.0,1.0
Ohio,10,R,0.7940978563807073,0.9019400000000001,0.09806
Ohio,11,D,1.0,0.0,1.0
Ohio,12,R,0.9840005592944334,0.65494,0.34504000000000007
Ohio,13,D,0.9999915921603528,6e-05,0.99994
Ohio,14,R,0.9953693680147506,0.84632,0.15368
Ohio,15,R,0.9995777596261506,0.97914,0.02086
Ohio,16,R,0.9971016723863376,0.91692,0.08308
Oklahoma,01,R,0.9999999999998391,0.99838,0.0016199999999999997
Oklahoma,02,R,1.0,0.99808,0.00192
Oklahoma,03,R,1.0,0.99996,4e-05
Oklahoma,04,R,1.0,0.9999800000000001,2e-05
Oklahoma,05,R,0.9999999999785933,0.8636,0.1364
Oregon,01,D,0.999999999999797,8e-05,0.99992
Oregon,02,R,0.9999999999980356,0.99012,0.00988
Oregon,03,D,1.0,0.0,1.0
Oregon,04,D,0.9999999949430647,0.00468,0.99532
Oregon,05,D,0.9999999988016397,0.14488,0.85512
Pennsylvania,01,D,0.999999999974512,0.57356,0.42644
Pennsylvania,02,D,1.0,0.0,1.0
Pennsylvania,03,D,0.9289114867218277,0.0,1.0
Pennsylvania,04,R,0.9977675951425657,0.00098,0.99902
Pennsylvania,05,R,0.8269465128657116,8e-05,0.99992
Pennsylvania,06,D,0.6856438612309145,0.00834,0.99166
Pennsylvania,07,R,0.7258968600206146,0.049,0.9509799999999999
Pennsylvania,08,D,0.9999864662537475,0.0372,0.9628
Pennsylvania,09,R,0.999965048279741,0.99822,0.00178
Pennsylvania,10,R,0.9997603128375571,0.67824,0.32176000000000005
Pennsylvania,11,R,0.9647717652640191,0.93274,0.06726
Pennsylvania,12,R,0.9999999999992861,0.9997399999999999,0.00026
Pennsylvania,13,D,0.9999954324942535,0.9996199999999998,0.00037999999999999997
Pennsylvania,14,D,0.9999995263549349,0.99298,0.007020000000000001
Pennsylvania,15,R,0.9977798197899914,0.99996,4e-05
Pennsylvania,16,R,0.9999296791454423,0.87528,0.12472
Pennsylvania,17,D,0.8496926852646014,0.04284000000000001,0.9571600000000001
Pennsylvania,18,D,1.0,,1.0
Rhode Island,01,D,1.0,2e-05,0.9999800000000001
Rhode Island,02,D,0.9999999999986328,0.0001,0.9998999999999999
South Carolina,01,R,0.979473210749998,0.91286,0.08713999999999998
South Carolina,02,R,0.9999982331629004,0.9935,0.006479999999999999
South Carolina,03,R,0.9999999707696282,0.99956,0.00044000000000000007
South Carolina,04,R,0.9997796906242559,0.9998999999999999,0.0001
South Carolina,05,R,0.9989694249031077,0.98744,0.01254
South Carolina,06,D,1.0,0.0,1.0
South Carolina,07,R,0.9997665813825041,0.99372,0.00628
South Dakota,00,R,0.9996783292973496,0.99212,0.00788
Tennessee,01,R,1.0,0.9999800000000001,0.0
Tennessee,02,R,0.9999999972430181,0.99976,0.00024
Tennessee,03,R,0.999999999999688,0.99958,0.00042
Tennessee,04,R,0.9999999999513296,0.99414,0.00584
Tennessee,05,D,0.9999999520770837,8e-05,0.99992
Tennessee,06,R,1.0,1.0,0.0
Tennessee,07,R,1.0,0.99988,0.00012
Tennessee,08,R,0.9999999999179647,0.99994,6e-05
Tennessee,09,D,1.0,0.0,0.9999800000000001
Texas,01,R,0.9999999963272791,0.9999800000000001,2e-05
Texas,02,D,0.8066411303985701,0.89548,0.10452
Texas,03,D,0.9857302526549832,0.99272,0.00728
Texas,04,R,0.9999999945427985,1.0,0.0
Texas,05,D,0.9261314054506985,0.99964,0.00036
Texas,06,D,0.8415717176615218,0.94356,0.0564
Texas,07,R,0.6268845103375074,0.48622,0.51378
Texas,08,R,0.9999998801054951,1.0,0.0
Texas,09,D,1.0,,1.0
Texas,10,R,0.9791461293534474,0.93808,0.06188
Texas,11,R,0.9999998692227611,1.0,0.0
Texas,12,R,0.9999999791153915,0.9999800000000001,2e-05
Texas,13,R,0.9999995496138833,1.0,0.0
Texas,14,R,0.9999733934189518,0.99212,0.00788
Texas,15,D,0.999984624988709,0.00026,0.9997399999999999
Texas,16,D,0.5255123794857144,2e-05,0.99996
Texas,17,R,0.9997758681770328,0.99788,0.0021
Texas,18,D,1.0,0.0,1.0
Texas,19,R,0.999565687963785,1.0,0.0
Texas,20,D,1.0,,0.99982
Texas,21,R,0.9784349404973594,0.8519,0.1481
Texas,22,R,0.783761219612283,0.8043,0.1957
Texas,23,R,0.9944819791527745,0.7779,0.22207999999999997
Texas,24,R,0.6251695290647179,0.96706,0.03294
Texas,25,R,0.9999997018905578,0.88556,0.11444000000000001
Texas,26,R,0.9999453239727314,0.9994,0.0006
Texas,27,R,0.9999998282712765,0.9985599999999999,0.00144
Texas,28,D,1.0,,0.99984
Texas,29,D,0.8336265039293798,2e-05,0.9999800000000001
Texas,30,D,1.0,,0.9999800000000001
Texas,31,R,0.9999998687274719,0.93294,0.06706
Texas,32,D,0.6738088816341363,0.63164,0.36835999999999997
Texas,33,D,0.999999956940255,4e-05,0.99996
Texas,34,D,0.9332223805911729,0.0003,0.9997
Texas,35,D,0.9999988415239626,2e-05,0.9999800000000001
Texas,36,R,0.9999999999687896,0.9999800000000001,2e-05
Utah,01,R,1.0,0.9998599999999999,0.00014
Utah,02,R,1.0,0.98374,0.0162
Utah,03,R,1.0,0.9997799999999999,0.00022000000000000003
Utah,04,R,0.9999999900649927,0.38566,0.61434
Vermont,00,D,1.0,0.0,1.0
Virginia,01,R,0.8042160073244116,0.97194,0.02806
Virginia,02,R,0.8682876018001606,0.67128,0.32872
Virginia,03,D,1.0,,1.0
Virginia,04,D,1.0,0.00064,0.99936
Virginia,05,R,0.7395399957506239,0.54376,0.45624
Virginia,06,R,0.9999941410902625,0.99468,0.00532
Virginia,07,R,0.5658986193360052,0.5642,0.4358000000000001
Virginia,08,D,1.0,0.0,1.0
Virginia,09,R,0.999999999856511,0.99074,0.00926
Virginia,10,D,0.8487633963819421,0.10566,0.89434
Virginia,11,D,1.0,4e-05,0.99996
Washington,01,D,0.9999999969333423,0.0006,0.9994
Washington,02,D,1.0,,0.99984
Washington,03,R,0.99999990219064,0.74638,0.25362
Washington,04,R,0.8926787978284423,0.99628,0.0037199999999999998
Washington,05,R,0.998533982852791,0.76146,0.23854
Washington,06,D,0.9999999997356748,0.00018,0.99982
Washington,07,D,1.0,0.0,1.0
Washington,08,R,0.9681874932320484,0.32814,0.6718600000000001
Washington,09,D,1.0,,0.01472
Washington,10,D,1.0,0.00034,0.99966
West Virginia,01,R,0.9999999999991156,0.99958,0.00042
West Virginia,02,R,0.999999999973308,0.937,0.06298
West Virginia,03,R,0.999962005943168,0.9267800000000002,0.07322
Wisconsin,01,R,0.5794274814906611,0.78248,0.2175
Wisconsin,02,D,1.0,,1.0
Wisconsin,03,D,0.9999924103389017,0.00262,0.99738
Wisconsin,04,D,1.0,0.0,1.0
Wisconsin,05,R,0.8776008514678475,0.9898599999999999,0.01014
Wisconsin,06,R,0.9544454052721336,0.95282,0.04718
Wisconsin,07,R,0.9998533024357888,0.99366,0.00632
Wisconsin,08,R,0.9977874457609526,0.99598,0.00402
Wyoming,00,R,0.9999999999935963,0.99976,0.00024
